failure_mode_id,component_id,failure_mode,mechanism,cause,effect,pf_interval_note
1,1,Erosion,,,,
2,1,Cavitation Pitting,,,,
3,1,Cracking,,,,
4,1,Imbalance,,,,
5,2,General Failure,,,,
6,3,Primary Ring Wear,,,,
7,3,Secondary Seal Leakage,,,,
8,3,Face Thermal Deformation,,,,
9,3,O-Ring Swell,,,,
10,4,Fatigue Spalling,,,,
11,4,Brinelling,,,,
12,4,Lubrication Starvation,,,,
13,4,Overheating,,,,
14,4,Corrosion,,,,
15,4,Contamination,,,,
16,5,Wear,,,,
17,5,Misalignment,,,,
18,6,Misalignment,,,,
19,6,Insert Wear,,,,
20,6,Backlash,,,,
21,6,Looseness,,,,
22,7,Stator Winding Fault,,,,
23,7,Rotor Bar Crack,,,,
24,7,Bearing Failure,,,,
25,7,Insulation Breakdown,,,,
26,7,Overheating,,,,
27,8,Looseness,,,,
28,8,Corrosion,,,,
29,8,Foundation Crack,,,,
30,9,Erosion,,,,
31,9,Cavitation Pitting,,,,
32,9,Cracking,,,,
33,9,Imbalance,,,,
34,10,General Failure,,,,
35,11,Primary Ring Wear,,,,
36,11,Secondary Seal Leakage,,,,
37,11,Face Thermal Deformation,,,,
38,11,O-Ring Swell,,,,
39,12,Fatigue Spalling,,,,
40,12,Brinelling,,,,
41,12,Lubrication Starvation,,,,
42,12,Overheating,,,,
43,12,Corrosion,,,,
44,12,Contamination,,,,
45,13,Wear,,,,
46,13,Misalignment,,,,
47,14,Misalignment,,,,
48,14,Insert Wear,,,,
49,14,Backlash,,,,
50,14,Looseness,,,,
51,15,Stator Winding Fault,,,,
52,15,Rotor Bar Crack,,,,
53,15,Bearing Failure,,,,
54,15,Insulation Breakdown,,,,
55,15,Overheating,,,,
56,16,Looseness,,,,
57,16,Corrosion,,,,
58,16,Foundation Crack,,,,
59,17,Erosion,,,,
60,17,Cavitation Pitting,,,,
61,17,Cracking,,,,
62,17,Imbalance,,,,
63,18,General Failure,,,,
64,19,Primary Ring Wear,,,,
65,19,Secondary Seal Leakage,,,,
66,19,Face Thermal Deformation,,,,
67,19,O-Ring Swell,,,,
68,20,Fatigue Spalling,,,,
69,20,Brinelling,,,,
70,20,Lubrication Starvation,,,,
71,20,Overheating,,,,
72,20,Corrosion,,,,
73,20,Contamination,,,,
74,21,Wear,,,,
75,21,Misalignment,,,,
76,22,Misalignment,,,,
77,22,Insert Wear,,,,
78,22,Backlash,,,,
79,22,Looseness,,,,
80,23,Stator Winding Fault,,,,
81,23,Rotor Bar Crack,,,,
82,23,Bearing Failure,,,,
83,23,Insulation Breakdown,,,,
84,23,Overheating,,,,
85,24,Looseness,,,,
86,24,Corrosion,,,,
87,24,Foundation Crack,,,,
88,25,Fouling,,,,
89,25,Corrosion,,,,
90,25,Cracking,,,,
91,25,Deformation,,,,
92,26,Compression Set,,,,
93,26,Chemical Attack,,,,
94,26,Extrusion,,,,
95,26,Creep,,,,
96,27,Crack,,,,
97,27,Distortion,,,,
98,28,Leakage,,,,
99,28,Thread Damage,,,,
100,29,Yielding,,,,
101,29,Thread Galling,,,,
102,30,Fouling,,,,
103,30,Corrosion,,,,
104,30,Cracking,,,,
105,30,Deformation,,,,
106,31,Compression Set,,,,
107,31,Chemical Attack,,,,
108,31,Extrusion,,,,
109,31,Creep,,,,
110,32,Crack,,,,
111,32,Distortion,,,,
112,33,Leakage,,,,
113,33,Thread Damage,,,,
114,34,Yielding,,,,
115,34,Thread Galling,,,,
116,35,Cavitation,,,,
117,35,Overheating,,,,
118,35,Seal Failure,,,,
119,36,Clogging,,,,
120,36,Wear,,,,
121,37,Seat Leakage,,,,
122,37,Sticking,,,,
123,37,Actuator Failure,,,,
124,38,Corrosion,,,,
125,38,Cracking,,,,
126,39,Corrosion,,,,
127,39,Cracking,,,,
128,40,PLC Fault,,,,
129,40,Power Supply Failure,,,,
130,40,I/O Card Failure,,,,
131,41,Calibration Drift,,,,
132,41,Sensor Failure,,,,
133,42,Drift,,,,
134,42,Open Circuit,,,,
135,43,Cavitation,,,,
136,43,Overheating,,,,
137,43,Seal Failure,,,,
138,44,Seat Leakage,,,,
139,44,Sticking,,,,
140,44,Actuator Failure,,,,
141,45,General Failure,,,,
142,46,Seal Leakage,,,,
143,46,Diaphragm Failure,,,,
144,47,PLC Fault,,,,
145,47,Power Supply Failure,,,,
146,47,I/O Card Failure,,,,
147,48,Wear,,,,
148,48,Crack,,,,
149,49,Leakage,,,,
150,49,Sticking,,,,
151,50,Scoring,,,,
152,50,Seal Wear,,,,
153,51,Leakage,,,,
154,51,Wear,,,,
155,51,Chemical Attack,,,,
156,52,Drift,,,,
157,52,Bourdon Tube Failure,,,,
158,53,Overheating,,,,
159,53,Electrical Fault,,,,
160,54,Wear,,,,
161,54,Scoring,,,,
162,54,Fracture,,,,
163,55,Leakage,,,,
164,55,Extrusion,,,,
